key,case_id,producer,reason_type,score,src_anchored,tgt_anchored,verifier,verdict,confidence,verifier_agreement,verdict_blockrun,reason,case_gold,correctness_class
telecom__mms_issueairplane_mode_on-bad_network_preference-break_app_both_permissions-data_::t12#2,telecom__mms_issueairplane_mode_on-bad_network_preference-break_app_both_permissions-data_::t12,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_troubleshooting,0.8,ANCHORED,ANCHORED,pollinations/gpt-oss-20b,REFUTED,0.95,agree,REFUTED,"The assistant’s response follows the policy: it has not violated any rules, has not made a tool call while responding, and has suggested the next logical troubleshooting steps (checking Wi‑Fi calling and app permissions). No required step is omitted, so the suspicion of incomplete troubleshooting is",0,likely_correct
telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15#0,telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_action,0.95,ANCHORED,ANCHORED,pollinations/gpt-oss-20b,REFUTED,0.95,disagree,CONFIRMED,The assistant’s final reply only provides instructions to the user; it does not claim to have performed any action or misrepresent the state. No incomplete action is asserted.,0,likely_correct
telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15#1,telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15,mistral-14b-latest (frozen Codex A0/A1 run),policy_violation,0.9,ANCHORED,ANCHORED,pollinations/gpt-oss-20b,REFUTED,0.99,disagree,CONFIRMED,"The assistant’s final response correctly instructs the user to grant missing permissions, which aligns with the policy and available information; no conflict or error is present.",0,likely_correct
telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15#2,telecom__mms_issueairplane_mode_on-bad_wifi_calling-break_app_both_permissions-data_mode_o::t15,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_resolution,0.85,ANCHORED,ANCHORED,pollinations/gpt-oss-20b,REFUTED,0.99,disagree,CONFIRMED,"The assistant’s final response correctly follows the policy and facts: it identifies the missing app permissions and instructs the user to grant them, which is a valid next step. No conflict with provided facts, tool contracts, or policy is present.",0,likely_correct
telecom__mms_issueairplane_mode_on-break_app_both_permissionsPERSONA_Hard::t8#0,telecom__mms_issueairplane_mode_on-break_app_both_permissionsPERSONA_Hard::t8,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_troubleshooting,0.85,ANCHORED,UNANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.9,single_channel,,The response contains a contextual error because the assistant failed to resolve the MMS issue despite having the correct network settings and APN configuration.,0,wrongly_confirmed
telecom__mms_issueairplane_mode_on-break_app_both_permissionsPERSONA_Hard::t8#2,telecom__mms_issueairplane_mode_on-break_app_both_permissionsPERSONA_Hard::t8,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_verification,0.8,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.9,single_channel,,The response contains a contextual error because the assistant failed to resolve the MMS issue despite having the correct network settings and APN configuration.,0,wrongly_confirmed
telecom__mms_issuebad_network_preference-bad_wifi_calling-break_apn_mms_setting-break_app_::t7#0,telecom__mms_issuebad_network_preference-bad_wifi_calling-break_apn_mms_setting-break_app_::t7,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_diagnosis,0.95,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.9,single_channel,,"The response contains a contextual error because the assistant failed to properly diagnose and resolve the MMS issue, instead of escalating to a human agent when the problem could not be solved within the scope of the assistant's actions.",0,wrongly_confirmed
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#0,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,mistral-14b-latest (frozen Codex A0/A1 run),tool_call_failure,0.95,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.95,single_channel,,"The response explicitly states that the agent's diagnostic tools for checking MMS functionality are failing, indicating a tool call failure.",1,likely_correct
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#3,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,mistral-14b-latest (frozen Codex A0/A1 run),misleading_assurance,0.88,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.9,single_channel,,"The response contains a contextual error: the assistant fails to resolve the customer's issue with sending MMS, despite multiple attempts to troubleshoot and resolve the problem, and eventually transfers the customer to a human agent without a clear resolution or explanation.",1,likely_correct
telecom__mobile_data_issueairplane_mode_on-bad_network_preference-bad_vpn-data_saver_mode_::t7#0,telecom__mobile_data_issueairplane_mode_on-bad_network_preference-bad_vpn-data_saver_mode_::t7,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_troubleshooting,0.85,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,1.0,single_channel,,"The assistant failed to follow the policy by not making a tool call to transfer_to_human_agents before sending a message to the user in the last turn, and also by not denying the user's request to perform multiple actions simultaneously.",0,wrongly_confirmed
telecom__mobile_data_issueairplane_mode_on-bad_network_preference-bad_vpn-data_saver_mode_::t7#1,telecom__mobile_data_issueairplane_mode_on-bad_network_preference-bad_vpn-data_saver_mode_::t7,mistral-14b-latest (frozen Codex A0/A1 run),premature_guidance,0.75,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.8,single_channel,,"The assistant instructed the user to change the network mode to '4g_5g_preferred' before checking the speed, but the user was not given the opportunity to do so before the next step was suggested.",0,wrongly_confirmed
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#0,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,mistral-14b-latest (frozen Codex A0/A1 run),incomplete_action,0.95,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),REFUTED,1.0,single_channel,,"The response does not contain the proposed contextual error of an incomplete action, as the assistant successfully resolves the user's issue and provides a clear explanation of the steps taken to restore the user's connection.",1,wrongly_refuted
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#1,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,mistral-14b-latest (frozen Codex A0/A1 run),policy_violation,0.9,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.95,single_channel,,"The assistant made two tool calls (check_sim_status and check_network_status) in a single turn, violating the policy that only one tool call may be made at a time.",1,likely_correct
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#2,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,mistral-14b-latest (frozen Codex A0/A1 run),communication_gap,0.85,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.95,single_channel,,"The agent made two tool calls (check_sim_status and check_network_status) in the same turn, violating the policy that only one tool call can be made per turn.",1,likely_correct
telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13#0,telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13,mistral-14b-latest (frozen Codex A0/A1 run),policy_violation,0.95,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),REFUTED,0.99,single_channel,,"The response only makes a valid resume_line tool call after the overdue bill is paid, which complies with policy; no policy violation is present.",1,wrongly_refuted
airline__7::t6#0,airline__7::t6,mistral-14b-latest (frozen Codex A0/A1 run),logical_inconsistency,0.95,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),UNCERTAIN,,single_channel,,,1,unresolved_by_design
airline__7::t6#1,airline__7::t6,mistral-14b-latest (frozen Codex A0/A1 run),policy_violation,0.85,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.9,single_channel,,"The assistant is supposed to confirm the user's request to upgrade the cabin class of the XEHM4B reservation to business class and then cancel it, but instead, the assistant proceeds to cancel the 59XX6W reservation and then checks the user's other reservations without confirming the user's request.",1,likely_correct
airline__7::t6#2,airline__7::t6,mistral-14b-latest (frozen Codex A0/A1 run),missing_confirmation,0.9,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,1.0,single_channel,,"The assistant failed to confirm the user's request to upgrade the cabin class of the XEHM4B reservation to business class before attempting to cancel it, which is a violation of the policy.",1,likely_correct
banking_knowledge__task_051::t15#0,banking_knowledge__task_051::t15,mistral-14b-latest (frozen Codex A0/A1 run),policy_violation,0.95,ANCHORED,ANCHORED,blockrun pool (gpt-oss-120b-class),CONFIRMED,0.9,single_channel,,"The assistant failed to verify the user's identity before requesting a credit limit increase, violating policy 2 of the Rho-Bank Customer Service Policy.",1,likely_correct
